x,y,t0,t1,Nx,Ny
0.6705433499,0.6649229951,0.0335271675,0.0343085413,0.6861708251,0.6802854450
0.6861708251,0.6802854450,0.0343085413,0.0352453836,0.7049076729,0.6986964875
0.7049076729,0.6986964875,0.0352453836,0.0355407353,0.7108147066,0.7044989873
0.7108147066,0.7044989873,0.0355407353,0.0364402178,0.7288043566,0.7221649092
0.7288043566,0.7221649092,0.0364402178,0.0371175176,0.7423503511,0.7354618006
0.7423503511,0.7354618006,0.0371175176,0.0376291439,0.7525828777,0.7455031153
0.7525828777,0.7455031153,0.0376291439,0.0376820341,0.7536406828,0.7465410043
0.7536406828,0.7465410043,0.0376820341,0.0380680789,0.7613615773,0.7541156841
0.7613615773,0.7541156841,0.0380680789,0.0381261117,0.7625222340,0.7552542320
0.7625222340,0.7552542320,0.0381261117,0.0388985604,0.7779712084,0.7704057184
0.7779712084,0.7704057184,0.0388985604,0.0393608399,0.7872167983,0.7794704197
0.7872167983,0.7794704197,0.0393608399,0.0399183275,0.7983665501,0.7903991858
0.7983665501,0.7903991858,0.0399183275,0.0400275937,0.8005518738,0.7925408325
0.8005518738,0.7925408325,0.0400275937,0.0409827516,0.8196550318,0.8112571022
0.8196550318,0.8112571022,0.0409827516,0.0410989771,0.8219795412,0.8135339116
0.8219795412,0.8135339116,0.0410989771,0.0412966133,0.8259322664,0.8174052151
0.8259322664,0.8174052151,0.0412966133,0.0413378823,0.8267576464,0.8182135439
0.8267576464,0.8182135439,0.0413378823,0.0416004351,0.8320087025,0.8233557215
0.8320087025,0.8233557215,0.0416004351,0.0422237402,0.8444748049,0.8355605837
0.8444748049,0.8355605837,0.0422237402,0.0430458029,0.8609160583,0.8516513526
0.8609160583,0.8516513526,0.0430458029,0.0439989283,0.8799785670,0.8702990385
0.8799785670,0.8702990385,0.0439989283,0.0441639938,0.8832798757,0.8735275839
0.8832798757,0.8735275839,0.0441639938,0.0444768629,0.8895372583,0.8796463016
0.8895372583,0.8796463016,0.0444768629,0.0450384291,0.9007685817,0.8906262812
0.9007685817,0.8906262812,0.0450384291,0.0451066870,0.9021337394,0.8919606733
0.9021337394,0.8919606733,0.0451066870,0.0455133291,0.9102665828,0.8999092672
0.9102665828,0.8999092672,0.0455133291,0.0464664188,0.9293283765,0.9185327361
0.9293283765,0.9185327361,0.0464664188,0.0471308269,0.9426165377,0.9315099635
0.9426165377,0.9315099635,0.0471308269,0.0480929922,0.9618598446,0.9502951651
0.9618598446,0.9502951651,0.0480929922,0.0486605269,0.9732105382,0.9613713038
0.9732105382,0.9613713038,0.0486605269,0.0489991154,0.9799823089,0.9679777423
0.9799823089,0.9679777423,0.0489991154,0.0494062817,0.9881256345,0.9759207312
0.9881256345,0.9759207312,0.0494062817,0.0495124199,0.9902483972,0.9779909986
0.9902483972,0.9779909986,0.0495124199,0.0503801151,1.0076023012,0.9949115212
1.0076023012,0.9949115212,0.0503801151,0.0513604692,1.0272093833,1.0140198943
1.0272093833,1.0140198943,0.0513604692,0.0520937807,1.0418756130,1.0283068031
1.0418756130,1.0283068031,0.0520937807,0.0526145258,1.0522905152,1.0384490736
1.0522905152,1.0384490736,0.0526145258,0.0530999582,1.0619991649,1.0479011371
1.0619991649,1.0479011371,0.0530999582,0.0535702778,1.0714055562,1.0570566829
1.0714055562,1.0570566829,0.0535702778,0.0544234977,1.0884699540,1.0736603685
1.0884699540,1.0736603685,0.0544234977,0.0547911878,1.0958237565,1.0808133852
1.0958237565,1.0808133852,0.0547911878,0.0549377158,1.0987543158,1.0836635528
1.0987543158,1.0836635528,0.0549377158,0.0553685520,1.1073710407,1.0920426580
1.1073710407,1.0920426580,0.0553685520,0.0561439039,1.1228780780,1.1071173883
1.1228780780,1.1071173883,0.0561439039,0.0568716741,1.1374334823,1.1212615457
1.1374334823,1.1212615457,0.0568716741,0.0574997049,1.1499940983,1.1334630180
1.1499940983,1.1334630180,0.0574997049,0.0579008278,1.1580165551,1.1412540258
1.1580165551,1.1412540258,0.0579008278,0.0585897284,1.1717945683,1.1546307869
1.1717945683,1.1546307869,0.0585897284,0.0592244522,1.1844890439,1.1669513652
1.1844890439,1.1669513652,0.0592244522,0.0600987226,1.2019744517,1.1839151694
1.2019744517,1.1839151694,0.0600987226,0.0607187688,1.2143753769,1.1959415325
1.2143753769,1.1959415325,0.0607187688,0.0607262907,1.2145258150,1.1960874030
1.2145258150,1.1960874030,0.0607262907,0.0608258242,1.2165164841,1.1980175797
1.2165164841,1.1980175797,0.0608258242,0.0613071277,1.2261425547,1.2073497351
1.2261425547,1.2073497351,0.0613071277,0.0621620145,1.2432402892,1.2239197090
1.2432402892,1.2239197090,0.0621620145,0.0623540395,1.2470807901,1.2276406589
1.2470807901,1.2276406589,0.0623540395,0.0626168113,1.2523362270,1.2327319017
1.2523362270,1.2327319017,0.0626168113,0.0629912347,1.2598246947,1.2399852165
1.2598246947,1.2399852165,0.0629912347,0.0632429277,1.2648585546,1.2448602150
1.2648585546,1.2448602150,0.0632429277,0.0638302000,1.2766039991,1.2562325269
1.2766039991,1.2562325269,0.0638302000,0.0638583751,1.2771675027,1.2567780423
1.2771675027,1.2567780423,0.0638583751,0.0643543247,1.2870864930,1.2663790975
1.2870864930,1.2663790975,0.0643543247,0.0643774569,1.2875491376,1.2668268529
1.2875491376,1.2668268529,0.0643774569,0.0650834412,1.3016688236,1.2804895520
1.3016688236,1.2804895520,0.0650834412,0.0651089564,1.3021791275,1.2809832465
1.3021791275,1.2809832465,0.0651089564,0.0654672537,1.3093450734,1.2879152669
1.3093450734,1.2879152669,0.0654672537,0.0664473250,1.3289465009,1.3068702659
1.3289465009,1.3068702659,0.0664473250,0.0666464988,1.3329299765,1.3107211975
1.3329299765,1.3107211975,0.0666464988,0.0671421144,1.3428422875,1.3203019699
1.3428422875,1.3203019699,0.0671421144,0.0675697687,1.3513953738,1.3285670056
1.3513953738,1.3285670056,0.0675697687,0.0684678629,1.3693572575,1.3459180162
1.3693572575,1.3459180162,0.0684678629,0.0690195036,1.3803900711,1.3565716118
1.3803900711,1.3565716118,0.0690195036,0.0695659265,1.3913185304,1.3671214398
1.3913185304,1.3671214398,0.0695659265,0.0700617714,1.4012354284,1.3766921694
1.4012354284,1.3766921694,0.0700617714,0.0701023603,1.4020472066,1.3774755020
1.4020472066,1.3774755020,0.0701023603,0.0703819047,1.4076380935,1.3828700309
1.4076380935,1.3828700309,0.0703819047,0.0709293112,1.4185862241,1.3934313882
1.4185862241,1.3934313882,0.0709293112,0.0711598782,1.4231975640,1.3978789227
1.4231975640,1.3978789227,0.0711598782,0.0718476607,1.4369532140,1.4111427823
1.4369532140,1.4111427823,0.0718476607,0.0724432655,1.4488653097,1.4226251761
1.4488653097,1.4226251761,0.0724432655,0.0733098446,1.4661968921,1.4393252255
1.4661968921,1.4393252255,0.0733098446,0.0735317100,1.4706341999,1.4435996380
1.4706341999,1.4435996380,0.0735317100,0.0738347787,1.4766955746,1.4494377019
1.4766955746,1.4494377019,0.0738347787,0.0743336077,1.4866721549,1.4590447287
1.4866721549,1.4590447287,0.0743336077,0.0753221367,1.5064427338,1.4780756124
1.5064427338,1.4780756124,0.0753221367,0.0762178481,1.5243569629,1.4953111611
1.5243569629,1.4953111611,0.0762178481,0.0764392965,1.5287859308,1.4995711005
1.5287859308,1.4995711005,0.0764392965,0.0767017697,1.5340353942,1.5046195869
1.5340353942,1.5046195869,0.0767017697,0.0768212646,1.5364252921,1.5069177587
1.5364252921,1.5069177587,0.0768212646,0.0775956198,1.5519123954,1.5218069943
1.5519123954,1.5218069943,0.0775956198,0.0777612749,1.5552254987,1.5249914193
1.5552254987,1.5249914193,0.0777612749,0.0782593827,1.5651876532,1.5345649984
1.5651876532,1.5345649984,0.0782593827,0.0791052320,1.5821046396,1.5508164510
1.5821046396,1.5508164510,0.0791052320,0.0800612977,1.6012259548,1.5691768978
1.6012259548,1.5691768978,0.0800612977,0.0804171775,1.6083435503,1.5760089381
1.6083435503,1.5760089381,0.0804171775,0.0810733641,1.6214672825,1.5886028306
1.6214672825,1.5886028306,0.0810733641,0.0819386804,1.6387736088,1.6052038720
1.6387736088,1.6052038720,0.0819386804,0.0821343434,1.6426868687,1.6089566168
1.6426868687,1.6089566168,0.0821343434,0.0829124094,1.6582481874,1.6238758492
1.6582481874,1.6238758492,0.0829124094,0.0838811991,1.6776239818,1.6424437040
1.6776239818,1.6424437040,0.0838811991,0.0841515603,1.6830312062,1.6476237807
1.6830312062,1.6476237807,0.0841515603,0.0844060206,1.6881204129,1.6524985313
1.6881204129,1.6524985313,0.0844060206,0.0852552824,1.7051056474,1.6687633315
1.7051056474,1.6687633315,0.0852552824,0.0861927600,1.7238551993,1.6867092399
1.7238551993,1.6867092399,0.0861927600,0.0865192797,1.7303855946,1.6929576658
1.7303855946,1.6929576658,0.0865192797,0.0867045562,1.7340911244,1.6965027241
1.7340911244,1.6965027241,0.0867045562,0.0876877241,1.7537544828,1.7153087980
1.7537544828,1.7153087980,0.0876877241,0.0878669128,1.7573382553,1.7187352835
1.7573382553,1.7187352835,0.0878669128,0.0884931619,1.7698632387,1.7307080401
1.7698632387,1.7307080401,0.0884931619,0.0892652433,1.7853048666,1.7454634483
1.7853048666,1.7454634483,0.0892652433,0.0896742801,1.7934856029,1.7532782203
1.7934856029,1.7532782203,0.0896742801,0.0896896911,1.7937938225,1.7535726190
1.7937938225,1.7535726190,0.0896896911,0.0897195108,1.7943902168,1.7541422637
1.7943902168,1.7541422637,0.0897195108,0.0897414097,1.7948281947,1.7545605916
1.7948281947,1.7545605916,0.0897414097,0.0898322732,1.7966454641,1.7562962776
1.7966454641,1.7562962776,0.0898322732,0.0904230256,1.8084605120,1.7675788942
1.8084605120,1.7675788942,0.0904230256,0.0906583911,1.8131678220,1.7720731026
1.8131678220,1.7720731026,0.0906583911,0.0908012068,1.8160241369,1.7747998411
1.8160241369,1.7747998411,0.0908012068,0.0915006732,1.8300134634,1.7881515974
1.8300134634,1.7881515974,0.0915006732,0.0915491497,1.8309829939,1.7890767598
1.8309829939,1.7890767598,0.0915491497,0.0920718974,1.8414379490,1.7990517775
1.8414379490,1.7990517775,0.0920718974,0.0921767252,1.8435345037,1.8010517604
1.8435345037,1.8010517604,0.0921767252,0.0930654866,1.8613097318,1.8180038079
1.8613097318,1.8180038079,0.0930654866,0.0938794383,1.8775887664,1.8335220217
1.8775887664,1.8335220217,0.0938794383,0.0938974477,1.8779489544,1.8338653010
1.8779489544,1.8338653010,0.0938974477,0.0947563730,1.8951274604,1.8502336092
1.8951274604,1.8502336092,0.0947563730,0.0953272882,1.9065457632,1.8611093038
1.9065457632,1.8611093038,0.0953272882,0.0954829619,1.9096592380,1.8640742579
1.9096592380,1.8640742579,0.0954829619,0.0962510980,1.9250219597,1.8787005904
1.9250219597,1.8787005904,0.0962510980,0.0963764168,1.9275283351,1.8810862666
